Review,Rating
One of the best Veterinary hospital in Yalahanka Bangalore location all the doctors are down to earth & very friendly with animals best treatment for the animal's it was very good experience with when I was having issue with my cat loose motion problems I got good treatment for my cat & instant results after treatment..!! 💯 …,5 stars
Good place for pet parents with knowledgeable doctors Sr Dr Azeem and team with friendly atomsphere,5 stars
"If it wasn't for Dr Azeem and his team, my cat would've been long gone. Hats off to them, they really do know what they are doing. Right from grooming, boarding and treating ailments, Dr Azeem, Dr Suhas, Dr Sandeep and their team do a brilliant job! Thank you very much!",5 stars
"Best hospital for all pets
Fees is very moderate

I am happy that they are feeding stray dogs free
Really great prople",5 stars
I have been getting my pets from past 3 years we had a very good experience dr Azeem is excellent,5 stars
The staff refused to groom the pet during the clinic hours stating they were understaffed but there were multiple staff members present. They were unprofessionally discussing right infront of us that they did not want to give the dog a bath. The doctor on duty was just busy watching TV and saying they close by 5pm.,1 star
"Poor treatments
Never ever take your pet here
Government hospital is better than this
Their aim is to make as much money possible until the pet dies",1 star
"A  beautiful veterinarian clinic, which deals with every aspect of our lil kitten, will recommend to everyone who has a pet; absolutely trustworthy.",5 stars
Amazing service and very friendly staff. The entire experience was without a doubt smooth. The product available are also very exotic.,5 stars
One of the best vet hospital with all the amenities and proper health care for our pets,5 stars
"One of the best pet hospital who saved my dog when it caught with Parvo virus.. We initially lost hope but within 10 days of treatment everyday 2 times with utmost care and instructions to follow helped to save my Dog.. Appreciate the efforts of each staf in hospital Dr. Azeem, Dr. Salman, Dr. Suhas, Dr. Sattar and special thanks to Kiran, Solomon and others.. I did enquire many private hospital for treatment and they were charging bomb.. Thank you so much once again you guys are doing superb job....",5 stars
I highly recommend all the pet parents to visit this hospital the Doctors and staff I very experienced the way they deal with the client is superb I am visiting this place from past 6 months every time I visit I had a gud experience with this people.  Thank u so much,5 stars
Best place everything available under one roof...,5 stars
I visited last week for my pet medicated bath I waited there for almost half an hour then i took my pet and i was coming then they came and sorry we were busy in one emergency case I don't know if they were lying or just giving reason and there no facility to book appointments before you go with your pet for bath. ( he has mixed 2 sampoo and said this is medicated bath even same shampoo i have for my pet if i would have known about that i would have not taken my pet there.),4 stars
"Took my cat for vaccination the service was on point, the staff and doctor were good and had a positive attitude towards their work and how they treat their patients.",5 stars
"Dr Azeem is a good doctor. He treated my Golden for multiple organ issues. He is empathetic and capable enough to handle critical cases.

The hospital is also equipped with all necessary medical care and diagnostic tools required.",4 stars
"Dr. Azeem has been my vet for the past 20 years across 3 dogs -a boxer, a husky and an English bulldog. I am based in San Francisco. I can say that Dr. Azeem's knowledge and care here on par or better than the Vets I have been with here in San Francisco. The staff here is also very nice and careful with the dogs. My parents also use their pet boarding facilities for my senior dog.

I strongly recommend this piece",5 stars
"I wish there was an option to give no start
Let me tell you that if you truly care about your pet and you want your pet to recover from anything it's suffering from please don't bring it to this hell.
All they care is about money and nothing else
I got my kitten here in a critical condition and there was the worst treatment
My kitten wanted 24/7 observation and meditation but I was the only one with my kitten for the whole night no doctor was concerned about his condition
More over I had left it there morning for the day care and had to pay 1000 more for it and by the time I came back at the afternoon I see my kitten in a isolated cage with no oxygen provided nor meditation or treatment
Even one of the staff said that ""it's been like this from morning and no treatment has been given""
But the doctor won't accept it
So please don't get your pets here I don't want any other pet to suffer like mine",1 star
"Iam so happy they saved our pet from the acute infection, doctors are so helpful",5 stars
"The facility was clean and well-equipped, making it evident that they prioritize hygiene and patient comfort",5 stars
Hospitality very good for staff . There treatment my pet very well.,5 stars
"I have been visiting the hospital from the past 1 month, they have been excellent.. Taken the utmost care of my dog. They have an excellent team of doctors and assistants. I would definitely recommend dog lovers to visit here and provide the best care for their fur babies!!",5 stars
Excellent and caring doctors and paravets led by Dr Azeemulla. Top notch veterinary healthcare,5 stars
Great hospitality people here are so sweet and friendly there are open to help more students in all fields. I highly recommend this place,5 stars
"Wonderful experience with Neha specialty veterinary  hospital  Dr. SATTAR SAB & Dr . AZEEMULLA  is a wonderful surgeon, and the staff was always helpful and kind. They ensured I had a smooth prep, surgery, and follow-up. I am so glad I chose NEHA SPECIALITY VETERINARY HOSPITAL  and would highly recommend to anyone.",5 stars
Neha speciality is One of best veterinary shop. All the staff and doctor were really polite and friendly.,5 stars
Dr hazemullah is very experienced and soo good in treating our pets really a good place,4 stars
"The best team of veterinary. Doctors
Best recommended place for your pets",5 stars
Dr Srinivas B Night duty doctor is so humble talented doctor... His knowledge in saving life timely is phenomenal and amazing. Thank you sir 💯 Other staff were kinda rude. But doctor is amazing perfect …,5 stars
Horrible service. The receptionist does not know how to be polite with the customers. She is aged and shows her frustration on the customers. This is a hospital and customers visit for their pet’s well being and this person is only an added pain.,1 star
Well equipped hospital with all the facilities available round the clock...... Good and humble doctors.,5 stars
"Not at all recommended if you want to provide the best treatment to your pet.

Here, the doctor's couldn't diagnose & couldn't provide the right treatment at right time due to which i lost my pet (simi - 3 month old female puppy)

Doctor's are very irresponsible & are money minded.

i have visited this hospital based on positive reviews so that i could provide my pet the best treatment i can provide her.

But the hospital & vet doctors stand no where to understand the problem & to cure it at right time.

it's been 3 months where i lost my pet & we are still unable to get out of that.

Editing this review again after reading the comment of the hospital management.
The least thing you can say is sorry instead of hurting us again.
Such a worst people & worst management & worst staff.

My pet was diagnosed with a bacterial infection(early stage) in the blood test for which the doctor has prescribed that a injection should be given daily by which she will be okay by 4-5 days.
But in spite of the medications & follow-ups taken, she collapsed after a week.
From the day 1 to day 7 we were taking a follow up on each day.
Even on the last day the doctor said she will be fine where the next day early morning she got a fits and immediately we rushed to hospital where she collapsed later that morning.",1 star
My dog was suffering from parov dr azeem treated it...now by god's grace it's doing good ...thank u so much dr azeem and team....,5 stars
"What a committed doctors
I went with puppy scrambled in mud in the mid night
They admitted it, thoroughly treated day and night for 3 days, really adorable
Kudos to them",5 stars
"Good doctor.He gives maximum time to hear patient views...his diagnosis is very sharp., Most of times doctor avoids unnecessary surgeries and medications., After the treatment doctor himself called us to know about my pet condition... Really doctor is very good and I never found comercial nature in him.,, Hospital also very clean ,..
My pet 'Darling'' cured from severe skin infection.… Darling is very happy now...
I suggest Neha Speciality Hospital is very best one for your pet care.,..",5 stars
"Doctors were very friendly, they explain all the things patiently,highly recommendable pet parents",5 stars
Nice hospital got good service to my pet and the result was too good I loved it,5 stars
"Good hospital for pets
Very friendly doctors and staffs",5 stars
"Very good setup,all faculties were good interactive persons,doctors were full of knowledge,they treat pets soo preciesly",5 stars
"The first time when I came to the Neha speciality hospital... I feel like really happy because my friend (Dog) falt too activate and happy.... The staff wher also....to good and while educated about vet.
And i wish this sarvice will be forever",5 stars
"24 hrs. Hospital is open. Staff is very helpful. Management can be improved, if they start storing the data of patient it will be helpful for  getting the history of the pet. Pet shop is also available with the hospital. Good experience with hospital.",4 stars
"HAVE BEEN PURCHASING WITH VERY GOOD PRODUCTS FOR MY DOG
I have always got the best products and very good service from the staff and the doctors quick response and very worthy suggestions.",5 stars
We’ve always had a great response after visiting the clinic! Especially Dr Azimulla Khan  has been very helpful and been a great guide in maintaining our pets health ! Forever greatful 🙌🏻 …,5 stars
Thanks to the friendly staff and responsible doctors for their quick action in emerceencies,5 stars
"I recently visited Neha Specialty Veterinary Hospital with my furry friend, and I am very impressed with the quality of care provided by the hospital. The staff were extremely friendly and welcoming, and the facilities were clean and well-maintained.

The veterinary services provided at the hospital are top-notch, and I felt reassured knowing that my pet was in capable hands. The pet grooming services were also excellent, and my pet came out looking and smelling great!

In addition to the veterinary and grooming services, the pet shop had a great selection of high-quality pet products, and the pet boarding facilities were comfortable and spacious.

Overall, I highly recommend Neha Specialty Veterinary Hospital for all your pet's needs. The staff truly care about the well-being of your pets, and the services and facilities provided are top-notch.

I hope this review helps others who are looking for a high-quality veterinary hospital for their furry friends!",5 stars
"We have been going here for three of our kittens since the time they were born! The hospital and staff are good but my recent experience changed this ! I lost a cat (who ran away since they opened the door of the chamber where the cat was supposed to be treated - this incident can happened with anyone but the casual way they handled the whole incident left a bitter taste - at the end of the day, there was no empathy , no acknowledgement for this loss - I am hoping my cat (who was several injured) stays safe and someday finds it way back but I would never go back to this hospital ever again ! I hope karma finds a way.",2 stars
Bad smell inside and they won't give you bill for medicines my  experience,1 star
"Dog attacked our cat and unfortunately we took to Neha hospital, they just treated cleaned wound didn’t even check for internal injury. She passed away after 4hrs, please incase of emergency don’t take your pets to this hospital 🙏. They are worst if we have taken our cat to different hospital there was chance of survival. …",1 star
"Great veterinarians, our 3 cats have all been taken care by them. Staff is helpful and nice.",5 stars
Dr. Azeemullah and his team are the most dedicated and caring. Dr Azeem has been our golden retriever's vet from birth to end and took care of him at every stage of his life. We have full faith in Neha which is why they are our designated doctors for our beagle as well. Thanks Doctor and team.,5 stars
"Amazing service, very friendly and cooperative staff. We had taken a street dog there, as he had got hurt because of a car. They were very welcoming, and we are very grateful to them for proactively taking all the steps required to help him. Proper medications were given too. Would definitely recommend for all pet owners.",5 stars
Is open 24/7. Great place for a pet clean up.,5 stars
"I had rated this hospital 5 stars earlier but now m reversing it.
Doctors r knowledgeable and experienced, that's true but at the same time, I didn't expect the administration to stay silent on what happened with us.
One of their staff members touched my dog unnecessarily and inappropriately when she was very sick. Dogs too are people and they too have dignity, respect and privacy .
When I complained about it on my next visit, they promised that Mr. Azim will get back on the matter but it's been weeks now and I've not heard anything at all. Their silence is baffling, disturbing and quite upsetting. I didn't expect this kind of tragedy happening eith us at this hospital. Very sad.",1 star
I lost my pet they killed her in the name of spaying surgery. Hope universe  never forgives these doctors,1 star
"Dr Azeemullah had treated our pet dog for CCL on right hind foot and came out knowledgeable and experienced. She developed a lump on same few months later.  We went by Dr Azeemullah's suggestion that the lump should be removed so that gait is not hampered.  She had perfect blood report a day before surgery as informed by Dr Azeemullah. Whole picture changed next day ie on 17th March when the lump was surgically removed by Dr Nageshappa. Throughout next week creatinine kept rising to 14.6 and pet died on 24th March. We repeatedly tried to reach Dr Azeemullah on  22nd March when his wife informed he is at dinner and will call back in 10 mins which never happened.  Next day again we took pet to hospital again no response from doctor, his wife says he is at a cricket match, will call back in 10 mins and pet died in hospital.  To this date Dr Azeemullah never called nor did he inform about histopathology report. Surgery department is pathetic and the doctors attitude is callous and insensitive!!",1 star
Very nice experience in this hospital dr Azeem and kiran for the parvo treatment best hospitals in the Yelahanka banglore .. please contact kiran for the ambulance service 24/7 is available . And nice service when you contact the kiran,5 stars
They saved the life of my cat gud experienced Doctors n pet friendly staff....simple loved this place,5 stars
"the best veterinary services and care you can find in Yelahanka - undoubtedly some of the most kind, dedicated and caring animal specialists that i can fully trust my furry babies with",5 stars
"A one stop shop for all your pet needs and also the hospital has all the amenities. Dr. Azeemulla, is exceptional with pets. Great care. I took my pooch here for a dental cleanup procedure and it was handled extremely well. Treatments given are really good.",5 stars
"Our pet dog was admitted into a surgery for a lump on her right hind leg. Before the surgery, the blood report showed how her Creatinine level was 0.87. We were constantly told that this is a simple surgery, both by the surgeon, Dr. Nageshappa, and Dr. Azeemullah. After the surgery, our pet's Creatinine level shot up to an alarming 9.11. The Creatinine and Bilirubin levels kept increasing after the surgery too. From a day before she left us, when her Creatinine level rose to 14.6, we tried reaching Dr. Azeemullah multiple times over phone, but we were constantly told that he'd call us back in a duration of 10 minutes, which never happened. Frustrated, we ourselves took her to the hospital, where we found out Dr. Azeemullah and some of the other doctors were busy at a cricket match while we were attempting to call him again and again. Here too, we were constantly told he would call us in 10 minutes. During one such conversation that my father was having with the receptionist, whose call Dr. Azeemullah picked up only to say he'll call in 10 minutes again, our dog passed away. We're writing this review in the hope that someone in the need for hospitalisation of thier pets knows that this place can be absolutely unresponsive and negligent.",1 star
"I consider myself incredibly lucky to have found this hospital. We got our dog Coffee and Cat Puff, both treated here for serious ailments and they helped revive both of them. They have in hospital tests for animals and the vets are genuinely invested. The hospital is also open for 24 hours, all days. I would highly recommend this for any pet parent. ❤️",5 stars
"This is a wonderful specialty veterinary hospital in Yelahanka. It is led by Dr Azeemulla and team of Doctors.
It operates 24/7!!
It has facility for pet boarding and for recuperating dogs and cats.
The administrative, finance and customer services are managed by Mrs Azeemulla and staff.
For us - my 2 four footed grandchildren it has become a one-stop  shop for all their needs:
1. Medicines
2. Toys
3. Toiletries
4. Dry and Wet foods
5. Treats
6. Harnesses, Leaches, Collars etc.
The Clinic is well appointed and kept very neat and clean
They must maintain it as they always do.",5 stars
Gud care for ur pets and very friendly staff especially front desk and professional doctor explains very neatly specially dr azeem,5 stars
"Just came with my cat now in the middle of the night for an emergency, the doctor didn’t even know what he was doing hurt Leo so bad , to give fluids he literally poked him seven times , my cat is in so much pain now , will take him somewhere else tomorrow,. If u don’t have proper staff for emergency or for night shift don’t open the hospital, we come out of desperation when we see our pets vomiting he said I don’t know what’s wrong and now we don’t know what to do. Very bad experience this is the second time",1 star
"I'm a recent visitor. Had brought my Persian kitten who was very sick and I was unhappy with the usual vet hospital I used to go to earlier.
Found prompt and empathetic treatment here from the doctors here. We had a quick diagnosis and the treatment for gastroenteritis that followed was efficient. Loved how the doctors handle the pets - says a lot about their expertise. This is a 24/7 place so makes a a reliable choice for pet parents",5 stars
"Highly recommended place for pet parent, good dr and staff",5 stars
My beloved dog passed his last days here. He was very sick with cancer. Dr Azeem was very helpful and compassionate. The place itself is large and clean . Finally we have a very good 24 hr pet clinic with well trained staff round the clock . Thank you Dr Azeem- keep up the great work 🙏🏼 …,5 stars
"It's an okay hospital for treatment. The doctor is pretty good and quite knowledgeable. The boarding is basic and not convenient at all. When we picked our dogs from there, they had a lot of pent up energy. One of our dogs peed for 2 minutes straight after coming out. I doubt they took them for a walk at all. They did not send us any video on a day to day basis which they had promised either.  They charge per dog and not per room. I might take my dogs for treatment there but not for boarding.",2 stars
"Best hospital for pets
Complete care under one roof",5 stars
"Dr Azeem is best and experienced  vet
Great to see hs dedcation for so manyyears",5 stars
"Best place for special breeds , good clinic",5 stars
My go-to place for all my pet (cats) needs. Great service from the entire team and very warm hospitality. Highly recommended,5 stars
Dr Aseem is the best . Will recommend only what's necessary for the pet after thorough examination. We have taken our pet Yuki multiple times and never needed any follow ups after that. Staff is extremely friendly and makes the pet feel really welcome,5 stars
"Dr Azeem is best vet
All credits to him",5 stars
"Nice hospital. Dr. Azeemulla is very experienced along with other doctors and staff. The hospital also have a one-stop shop for pets including medicines, food, toys, litter, etc. They also provide grooming and boarding for pets. There are also few cons like sometimes the doctors are a bit rough with the pets. Also, the boarding services at Neha doesn't have  human interaction/ any attention by staff.",4 stars
I had been here to get my dog neutered. The procedure went very smoothly and Dr. Azeemulla was so kind and helpful. The services were 10/10.,5 stars
Very good hospital with experienced Doctor and always helping staff,5 stars
"Both my dogs had a severe illness. We had been to various clinics,but Neha clinic became a saviour for my pets,their eyes had become very white..Dr.Azeem as a person makes you feel so comfortable at the hospital.. Dr Suhas and Dr.Sachin did the right tests at the right time,and were able to diagnose the exact cause of the condition .20 days after antibody and other medicines.Now my dogs are back to how they were before they caught the infection.Will surely recommend this hospital to ppl of my hometown(KGF).The hospital and the staff is very friendly and client friendly.",5 stars
"I had been to your clinic to get a flee  treatment done for my 2 month old kitten.
My kitten is doing great, thanks to Dr Azeem, Dr Sattar and also your staff who gave excellent grooming by being patient to take away all the flees 🙏. Would also like to add that you have good ancillary staff too, the two girls who help customers pick up pet accessories are really pleasant, humble and a ready to help attitude.
I am so happy and grateful to find a great vet clinic near to my place. Keep up the good work 👍👏👏👏",5 stars
"💯 recommended- the doctors here are amazing and are patient understands one’s concern and help you through the process..

I have rescued a cat who was severely injured - very well taken care here with special discount for the rescued pets.

I am humbled thanks Dr. Azeem and the buddy docs 🫶 cheers!!",5 stars
"It's a place who runs on your emotions. We rescued a 5month puppy with severe itching issue. Since this place was the nearest we went there. Without even looking at the pup the doctor gave a shampoo to be used.  They gave medicines and injections. And prescribed that shampoo and a spray. After applying the spray for 2 days, the itching didn't go. We took him to a pet clinic near our place in Indira Nagar. The doctor said the prescribed shampoo was for fungal infection and the spray was for something different symptoms.  Mind you both these products are expensive.  We have changed the shampoo and can now see instant result.  This place encashes on your mental state and pushes expensive useless stuff",1 star
"Good staffs, good doctor
Cleanliness was good
Overall good experience.",5 stars
"The only Doctor we trust with our fur babies. We have three dogs and they have always been treated with the best medication and we have seen positive improvements constantly. We completely trust Doctor Azim with our fur babies and could not have asked for a better doctor to take care of their medical needs. Not just the doctor, but all the staff are very friendly and attentive. The hospital itself is clean and hygienic and always sanitized.Would definitely recommend Dr.Azim for any medical emergency or medical treatment for you pets.💯",5 stars
