Review,Rating
"It is such a decent and moderate place.. Guys I want to say that any vet clinic consists only vaccine chamber but here as I have recently visited to this Shwana Vet Clinic with my pet (Lisa) it is really a delightful experience.. It has a groomimg  chamber , a surgery room and as well as vaccine chamber too.. Not only that, in there you can also find many accessories and snacks for your pet.. I am sharing my experience to  all the pet parents who resides in Bagalur should really visit Shwana Pet Clinic..What are you thinking  for ? Go for it.. The staffs are very helpful and doesn't hesitates to do the needful for our pets.. 👍🏻👍🏻👍🏻👏🏻🐶🐱⭐⭐⭐⭐",5 stars
"Great doctors, especially Dr Abhishek.

Our pets as well as rescue kittens were treated at Shwana and we have always had a positive experience with them.

Highly recommended.",5 stars
"Good and safe doctors, their grooming services are commendable. Right guidance is given",5 stars
Worst hospital . They killed my cat by giving it some wrong medicine . They don't deserve even a single star,1 star
"I recently visited Shwana Pet clinic with my puppy, and I am very impressed with the quality of care provided by the hospital. The staff was extremely friendly and welcoming, and the facilities were clean and well-maintained.

The veterinary services provided at the hospital are top-notch, and I felt reassured knowing that my pet was in capable hands.",5 stars
"We visited the clinic for the grooming of our 2 Persian cats. One of our cat is very aggressive and never allows us to comb his hair. As a result his full body hair were tangled into many knots and then we decided to trim their hair.
Talking about the service of this clinic, they are very well trained and experienced in handling the pets. Clinic is very hygienic.
The person who did the grooming for our cats was Sachin, the way he handled our pets was really appreciable and he did a fantastic work. We are extremely happy that the first grooming of our cats was done in this clinic.
I totally recommend this clinic, your pets are in safer hands.",5 stars
Amazing clinic for pets and good doctors,4 stars
"The most beautiful experience I've had with the employees of any clinic so far! I'm very careful about how someone handles my dog while grooming, etc. But a huge shout out to SACHIN! for taking care of my pet like his own and showing the same concern I'd show! Now I know where to go for all my pet's needs and hands down, I'd recommend this clinic for all the pet parents!",5 stars
"Supportive staff , excellent facilities my oppo is happy after grooming 🥰 …",5 stars
Worst clinic . Don't visit this place I have been lost my dog because of them,1 star
"I had a great experience at the Shwana Pet Clinic. The clinic was exceptionally clean and well-maintained. The staff provided excellent care, and I felt well taken care of during my visit. I highly recommend this clinic for anyone seeking quality healthcare services.",5 stars
"Doctors are highly passionate about pets, they always endeavors to provide the highest care to the pets they treats. They has excellent expertise in pet treatment and management, dairy livestock, nutritions. Pets food, toys, treats and necessities are very good and with best price. Doctors and clinic staff are very friendly and having good knowledge on pets, food diet and treatments. Very satisfied with the care and support provided by the staffs.",5 stars
"Very professional and efficient care given Dr. Abhishek and Dr. Swati. Very good handling of pets, reasonable price, best hygiene maintained, in-house pet store, and very knowledgeable, understanding & compassionate doctors. THE BEST clinic in the area. I had the best experience each and everytime. Keep up the good work. ❤️🙏☺️😺🐶 …",5 stars
"Very friendly and professional staff. I have a pekingese pup, got his full grooming, medicated bath, 2 vaccinations done and it costed me around 2.5k which I feel is a great price.
Good hygiene and cleanliness maintained.",5 stars
One of the best pet friendly place ever seen..My pets don't allow strangers  close. Initially they were very aggressive and in coperative but once Sachin started grooming them  they were astonishingly sober.. mild. He has excellent talent to tame the pets... A big Kudo to him. All others facilities n staff are considerably good n supportive.,5 stars
Awesome place for pets and well trained staff and doctors nice place for all the pets very good care and clear n good advice will be given from doctors and one stop solutions for pets. Overall 10 ratings and suggested place for all the pet owners,5 stars
"One of the best recommended pet shops for all the pet owners to visit, doctors are friendly to pets and its owners also, budget friendly too, Highly recommended.",5 stars
"Firstly I had taken my 3yr old Oreo (beagle pup) for general consultation for her conjunctivitis. I was very happy with the way she was treated in the clinic and the staff was super friendly. I could trust them for my dogs neutering surgery which I wanted to do since long time but wanted someone trustworthy.
Her blood test was done a day prior and next morning was the surgery. Throughout the surgery she was taken well care of by Dr. Abhishek. It took 2-3 days for her to recover and I was really worried for her during initial 2 nights.
However, the assistance which i received from Dr. Swathi was commendable. She was available day or night on call and WhatsApp whenever I needed any support. She proactively kept a check on my dogs health recovery and gave all needful advise until her complete recovery.
My dog is completely perfect and back to the crazy version of her😍. My overall experience with this clinic and the staff and doctors has been wonderful ❣️ and I would highly recommend this place to everyone.
Also, they have good range of pet supplies and assist you in buying the right products for ur pets.
Thankyou so much Dr. Abhishek, Dr. Swathi and all the support staffs for handling my baby🐶 with so much care🥰",5 stars
I’m very happy with my cat’s  Doctor and friendly & prompt service,5 stars
The clinic has several remarkable things which make it special. The doctors and staff are humble and polite. The clinic is extremely clean.,5 stars
"My dog having difficulty in giving birth was presented to Shwana pet Clinic got the x ray done and the doctor told it was having stone also, got the operation done for urinary stone and delivery of puppies, great experience with the hospitality in Shwana pet clinic.
We are very much happy with the diagnosis and treatment our dog doing well with the puppies now.
I thank Doctors Abhishek and Swathi for early response and detailed explanation regarding our dogs problem.
Best clinic in the emergency situation they are open all the day from 9 to 9. Earlier days we need to go far from our place.",5 stars
"Visit Shwana pet clinic, you will definitely appreciate the skill full hands of both doctors. They have got better experience with in-depth knowledge. Never miss out. Go with your pet for better care and treatment.",5 stars
"Best pet clinic which I have experienced, Doctor are very friendly recently visited this clinic for vaccination for my Bruno , Dr Abhishek took care and explained about the food management for my pet . I highly recommend this clinic",5 stars
"Small and clean pet clinic..

Doctor is really good and patiently listioning to all our concerns and explains the treatment clearly",4 stars
"Best pet clinic which i have visited, Doctor are very knowledgeable highly recommended for pet owner",5 stars
"Recently opened in my locality and i went with our 45days old Shih Tzu ""POPY"" for a dry bath & trim. It was truly an amazing experience with the Swana Pet Clinic. Dr. Swati was too friendly to my puppy and much informative to us about his health, food and care. Seeing the facilities, the care, and the staff attitude i prefered to go for his first vaccination & de-worming as well. It's a full fledged one stop solution for all the pet needs. Pet Shop is well stocked for all needs with genuine varities. I recommend the cilinic to everyone for all your pet needs and the doctors are very much caring. Thank you Dr. Swati and Swana clinic staff.",5 stars
Located right in the main road opposite to fuel pump. Very prompt consultation. Dr Urmila was really helpful in attending and clearing the queries. Vet Pharma is available by them including Pet food and accessories. Well maintained shop floor with pet grooming as well.,4 stars
Very quick service and Dr. Shwati is very humble and polite doctor. Fee and prices are decent . They offer surgeries aswell.,5 stars
"This clinic really give the best service and treatment, the doctors will support each and every pets with patience i highly recommende this clinic ❤️compare to other hospitals the cost is also budget friendly",5 stars
"We had good experience consulting the doctor here for our Persian cats which was ill.

Place is kept hygiene.
Anyone near airport who is looking out for pet clinic can definitely visit this and I recommend this place.",5 stars
"Doctor's of Shwana Pet Clinic are very experienced and also they guide us for our pet's care especially good and other common pet problems. All most all the pets requirements such as pets food, soap, shampoo and other medicines are also available here.",5 stars
Good experience. Dr. Swati treated my buddy Bruno. My pet recovered in no time. She's blessed with the natural talent to connect with animals. Kudos to the next Dr. Dolittle of India!!,5 stars
"Very good doctors, they spend time with your pet, explain in detail which is very empowering.
Pricing is very reasonable. Thanks for providing valuable care!",5 stars
"My goto place for all grooming and care related needs for my sister's pet Chocu. Dr Swathi , Dr Abhishek and the staff take good care of him. It's almost like a second home for Chocolate- 3 year old Tscitchu",5 stars
I highly recommend Shwana Pet Clinic. Dr. Abhishek is highly knowledgeable and experienced doctor. He examine pet animals patiently and then advise the best treatment. Clinic has all what we need for our pets. It is one stop shop for all the needs that too on a very reasonable cost.,5 stars
"Okay service. Nothing exceptional.""",3 stars
"Overall a good pet clinic, visited 4 times and overall experience was good. Staff is helpful and they do not try to sell unnecessary products.",4 stars
Shwana is the best pet clinic I’ve visited so far with amazing services. Highly recommended!!,5 stars
"It's like a home away from home for your pet with incredible vets. Patient listening by doctors, expert treatment, and spacious clinic is of great experience.
Pet shop, laboratory and spa sections are too good. I strongly recommend this clinic.",5 stars
"Very very happy with their treatment, my dog is healthy and happy because of these doctors, Very much thankful to them, recommend everyone to visit this clinic in case of any emergency or treatment. Thank you Dr. Abhishek & Dr. Swathi  for handling the situation soo well ❤️",5 stars
"Friendly staff and wonderful Veterinarians make for a good experience for your pets.It is just a welcoming, friendly atmosphere.",5 stars
Had an wonderful experience grooming my dog (Lhasa) at Shwana pet clinic. Staffs are very well behaved and experienced at their work.,5 stars
"Very well maintained clinic in Bagalur cross , I m visiting this clinic since 1 year , I highly recommend this clinic 👌 …",5 stars
Dr Swati & Dr Abhishek both are quite humble & of loving n caring natire .. Put their best for treating our 4 legged furries,5 stars
I have had  the best experience at shwana so far dr Abhishek is the best  and explained the root cause as to why my pet was facing    Health issues months back ... his service explains how proficient he is .Thank you !,5 stars
Good friendly pet clinic,5 stars
"One of the best pet clinic in Bengaluru for all type of pet care and service along with pet shop within...Resourceful, experienced professional and friendly staffs equipped with the best diagnostic lab facilities... Clinic is spacious and hygienic, and vehicle parking is hassle free.",5 stars
Experienced a friendly environment in the clinic . This clinic can be highly recommended for anyone seeking exceptional care and warm environment.,5 stars
"Good stop for a pet lovers,we can have A to Z services and accessories here thanks to Shwana Pet",5 stars
"I had taken my golden retriever for hair grooming ,the person who did was very friendly did the work completely
Very happy with the work",5 stars
"Clinic has a everything your pet needs.. Clinic, pet saloon and accessories along with wonderful doctors who treat your pet as you do
.",5 stars
"Dr swati is very kind and helpful , my cat is under her observation since I got him, and I can totally rely on her,",5 stars
Took a stray dog that was hurt infront of our site. The doctors were very friendly & treated the dog very well. They even gave free sample medicines for it to recover.,4 stars
"Very caring staff and professional VETs.
Highly experienced,Good place for cats and dogs.",5 stars
Recently visited the shwana pet clinic for my pet grooming and consultation the doctors are highly knowledge and experience. Got discount on foods also.,5 stars
"Well maintained pet clinic in Bagalur. Nice response from the doctors, Thank you groomer (Sachin) done grooming for my pet Roxy good experience",5 stars
"This is a one stop place for your pets. There i consulting, grooming and spa. The services are very good. They also have a small pet shop with treats and cute toys that your furry buddy will love",5 stars
A nice and hygienic pet clinic with pleasant reception and prompt treatment,4 stars
"One stop solution for all your pet needs. Friendly, professional Doctors and staff. Value for money. One of the best choice for first timers.",5 stars
Best pet clinic Which is near to air port .Very caring doctor they have grooming facilities also .,5 stars
Good experience with the best veterinary doctors near our locality. You can expect very well facilities for your fur friends. Must visit,5 stars
"The place is good . The doctor is also good. They have got a shop in which you get almost all the things such as food bowls , toys , food , snacks , and sanitation requirements , potty training tools , etc...",4 stars
One of the best pet clinic in the Bangalore. The hospital is well equipped with all the facilities and is a perfect place to shop for the pets.,5 stars
Very good place for all kind of pets. Liked with grooming. I strongly recommend this clinic to all pet lovers,5 stars
Nice clinic.pets caring very nice and good atmosphere for all type of pets 🐶🐕 surgery.. …,4 stars
Good genuine doctors and quick service. Highly recommended for pets and pet parents,5 stars
"Great place for pets. Premises is spacious and well maintained. Polite, experienced doctors and very professional staff.",5 stars
Awesome place for ur lovely pers Dr.Swathi is one of the best doctor for ur per solution,5 stars
"I have been here with my dog and once with a stray indie and both of them were treated well.

Little expensive for the first timers.",4 stars
We took our dogs for a check up and Grooming. The clinic and vet did a great job on explaining and educating us..,5 stars
"Good place and very friendly doctors, you can take your pet for shopping also",5 stars
This is a pet clinic close to Hebbal ..one of my friend had a freak accident involving a dog near Hebbal and we rushed to this clinic and the treatment was given by the team well and by His grace it has resulted in the dog surviving,5 stars
"Awesome service , clean and hygienic clinic which I have experienced 😊 …",5 stars
Excellent place to take your pets. Doctors and staff are very friendly. Lots of varieties of pet supplies and toys.,5 stars
Best pet clinic which i experienced. Thank you doctor for your guidance.,5 stars
"My rocky  saved because the quick action taken  both doctors , It was infected by some viral diesase . Best pet clinic in bagalur",5 stars
"They Treat the pets very well , the place is very hygiene and treat all kinds of pets
Expert veterans",4 stars
"Good doctor, with quality products and services",5 stars
Better to visit any other pet clinic. You can buy the stuff related to pets.,1 star
Very nicely maintained pet clinic in Bangalore. Dr Abhishek and Dr Swathi are good knowledge,5 stars
Loved it I take my dog here on regular basis Extremely nice staff and my Dog ( Bheema ) knows every one here,5 stars
Very good  and Very clean .good  treatment Hospital staff good Behaviour,5 stars
Visited the clinic recently and loved it. Best pet clinic in Bagalur!,5 stars
Had taken my peach faced bird for treatment...the doctor was very friendly..and took utmost care of my birdie....,5 stars
Got free Rabies vaccine for puppy. And service was good,5 stars
Best pet clinic in bagalur cross .,5 stars
"Excellent Grooming service by Sachin sir
Friendly staff
Must visit",5 stars
"Good experience with the facility and faculty
All you need will be available
Everything needs for pets",5 stars
Extremely dedicated and professional doctors. Doctors are friendly and easily accessible at anytime. Great job. Keep it up.,5 stars
Good taking care of pets experience docters nice place to visit ...,5 stars
"Very nice clinic for upcoming pet owners, charges are reasonable",5 stars
Best pet clinic. Doctor are very experienced,5 stars
Very worst hospital....behavior is very rude,1 star
"Clean and caring.
Pet grooming and bathing is very good.
Experience doctor's.",5 stars
"Good behaviour, doc Abhishek was good n gentle with my cats",5 stars
"Nice place to get all things for ur pets.
Friendly Staff  behaviour.",5 stars
Its ok ok… not that much standard customer service… will get 10% discount on food items which is helpful..,3 stars
Best pet clinic in bagalur cross must visit,5 stars
"Accessible, Helpful staff",5 stars
Excellent Doctors. Clean and hygienic. Slightly pricey.,4 stars
Very good clinic for pets and vets are too good 👍 …,5 stars
So good experience till now.. friendly staff ✨,5 stars
Best pet care in North Bangalore,5 stars
I had a good experience. Dr Swathi was very helpful.,5 stars
Better to visit any other pet clinic. You can buy the stuff related to pets.,2 stars
"Experienced doctors who are professional, and with every facilities your pets require.",5 stars
Accurate in diagnosing and addressing the issue. Thanks to Dr Abhishek and team.,5 stars
"Got my lab groomed, very hygienic and clean.",5 stars
Best pet Clinic near bagalur road,5 stars
Best doctor and hygiene clinic,5 stars
It’s a good place to visit with your pet.,4 stars
They are charging too much.,2 stars
Good place for pet grooming and pet foods,5 stars
Friendly staff giving good suggessions to us good,5 stars
Nice shop and accessories for pets,4 stars
Good and fair customer experience,4 stars
You can trust the doctors in Hard Times ❣️,5 stars
Like this pet clinic doing good job,5 stars
Professionals at work. Great experience.,5 stars
Dr. Abhishek was really good.,4 stars
One stop solution for all your pet's need,5 stars
👌 …,5 stars
Very good Hospital....,5 stars
Adequate,2 stars
Good response from the doctors and staff,5 stars
Everything for pet under one roof.,5 stars
Very good doctor,5 stars
Great experience,5 stars
A little bit cost,5 stars
Excellent,5 stars
"Young, energetic, and passionate doctors",5 stars
Best service provider,4 stars
𝙂𝙤𝙤𝙙 𝙥𝙡𝙖𝙘𝙚 …,4 stars
Expensive,3 stars
Good care for pets ...,5 stars
Nice behaviour,5 stars
Price is to high,1 star
Excellent,5 stars
Good,5 stars
Dr Abhishek nice vet,5 stars
